# FishBot v0.7 phase-2 adversary bank.  id, mechanism cluster, spec.
X01xC3	cross-inclass-search	v06:allparams=9.60189|6.15330|3.83683|3.12220|6.65640|6.64437|1.29917|-0.63211|-2.07810|-4.73361|-3.36019|1.69692|2.23122|5.94852|0.89676|0.11936|5.11158|-0.59790|1.81511|-1.21220|0.86813|0.74469|0.29558|5.91993|2.55634|6.95324|0.68312|0.87672|-0.03021|0.40022|0.19007|5.73206|3.57881|3.69737|0.34414|-1.30664|0.01140,s1=1,det=12,cand=4,kappa=2.5,rbelief=indep,depth=12,maxq=26,roppo=v06
X01xC3f	cross-inclass-search	v06:allparams=9.60189|6.15330|3.83683|3.12220|6.65640|6.64437|1.29917|-0.63211|-2.07810|-4.73361|-3.36019|1.69692|2.23122|5.94852|0.89676|0.11936|5.11158|-0.59790|1.81511|-1.21220|0.86813|0.74469|0.29558|5.91993|2.55634|6.95324|0.68312|0.87672|-0.03021|0.40022|0.19007|5.73206|3.57881|3.69737|0.34414|-1.30664|0.01140,s1=1,det=16,cand=6,kappa=2.0,maxq=26,roppo=v06
S-archetype-0	screen-archetype	feint
S-ask-0	screen-ask	v06:xf=0
S-ask-1	screen-ask	v06:m1=0
S-ask-2	screen-ask	v06:rtie=1
S-ask-3	screen-ask	v06:chain2=1
S-belief-0	screen-belief	v06:belief=block
S-decl-0	screen-decl	v06:m2=0
S-decl-1	screen-decl	v06:vmargin=-0.02
S-invert-0	screen-invert	v07i:idet=48,imodel=v06
S-prior-0	screen-prior	v06:ptheta=0.2
S-reference-0	screen-reference	v06
S-search-0	screen-search	v06:s1=1,det=16,cand=6,kappa=2.0,maxq=26
S-search-1	screen-search	v06:s1=1,det=12,cand=4,kappa=2.5,rbelief=indep,depth=24,maxq=26
S-search-2	screen-search	v06:s1=1,det=12,cand=4,kappa=2.5,rbelief=indep,depth=12,maxq=26
R-v05	reference	v05
R-v04	reference	v04
