deal,rot,event,seat,team,kind,card,target,set,hit,ownLocked,oppLocked,truthHolder,dead,gateBound,searched,changed,nCand,nTie,nFeasible,p,margin,score,pAlloc,unresolved
1,0,51,4,0,0,8,3,1,0,1,0,0,0,0,0,0,48,1,0,0.020980,0.109684,7.344708,-1.000000,23
1,0,53,2,0,0,11,1,1,0,1,0,0,0,0,0,0,32,1,0,0.154142,0.138711,7.868104,-1.000000,24
1,0,55,2,0,0,8,1,1,0,1,0,0,0,0,0,0,31,1,0,0.162471,0.036094,7.738728,-1.000000,24
1,0,57,4,0,0,11,5,1,0,1,0,0,0,0,0,0,43,1,0,0.260863,14.427290,11.979393,-1.000000,21
1,0,58,4,0,1,-1,-1,1,1,1,0,-1,0,0,0,0,20,0,15,1.000000,0.000000,0.000000,1.000000,20
1,0,60,0,0,0,18,5,3,0,0,0,3,0,0,0,0,27,4,0,0.197429,0.000000,-2.252705,-1.000000,19
1,0,62,0,0,0,18,1,3,0,0,0,3,0,0,0,0,26,1,0,0.231548,0.106034,5.806807,-1.000000,19
1,0,64,0,0,0,21,5,3,0,0,0,4,0,0,0,0,25,3,0,0.210705,0.000000,6.023777,-1.000000,19
1,0,66,0,0,0,22,5,3,0,0,0,4,0,0,0,0,24,2,0,0.219155,0.000000,6.482716,-1.000000,19
1,0,70,2,0,0,31,5,5,1,0,0,5,0,0,0,0,21,1,0,1.000000,6.023680,10.973619,-1.000000,13
1,0,71,2,0,0,30,5,5,0,0,0,1,0,0,0,0,20,2,0,0.707890,0.000000,13.780481,-1.000000,13
1,0,76,4,0,0,18,3,3,1,0,0,3,0,0,0,0,25,1,0,0.414833,5.302523,8.067098,-1.000000,12
1,0,77,4,0,0,23,1,3,0,0,0,3,0,0,0,0,24,3,0,0.087164,0.000000,6.859185,-1.000000,11
1,0,79,4,0,0,19,1,3,0,0,0,0,0,0,0,0,23,2,0,0.133249,0.000000,7.885360,-1.000000,11
1,0,85,2,0,0,13,1,2,1,0,0,1,0,0,0,0,10,2,0,1.000000,0.000000,9.416150,-1.000000,8
1,0,86,2,0,0,14,1,2,1,0,0,1,0,0,0,0,9,1,0,1.000000,4.801674,17.921614,-1.000000,8
1,0,87,2,0,0,12,1,2,1,0,0,1,0,0,0,0,8,2,0,0.800952,0.000000,14.114111,-1.000000,8
1,0,88,2,0,0,15,1,2,1,0,0,1,0,0,0,0,5,1,0,0.607261,3.415979,14.275601,-1.000000,7
1,0,89,2,0,0,16,5,2,1,0,0,5,0,0,0,0,2,1,0,0.506732,3.264098,16.724098,-1.000000,6
1,0,90,0,0,1,-1,-1,2,1,1,0,-1,0,0,0,0,4,0,1,1.000000,0.000000,0.000000,1.000000,4
1,0,92,4,0,0,19,3,3,0,0,0,0,0,0,0,0,3,3,0,0.333333,0.000000,10.477194,-1.000000,3
1,1,0,3,1,0,25,0,4,0,0,0,5,0,0,0,0,63,9,0,0.200000,0.000000,-0.366591,-1.000000,45
1,1,4,3,1,0,29,0,4,1,0,0,0,0,0,0,0,63,3,0,1.000000,0.000000,17.939568,-1.000000,45
1,1,5,3,1,0,26,0,4,1,0,0,0,0,0,0,0,62,2,0,1.000000,0.000000,19.093672,-1.000000,45
1,1,6,3,1,0,28,0,4,1,0,0,0,0,0,0,0,59,1,0,1.000000,12.838659,20.876776,-1.000000,44
1,1,7,3,1,0,27,4,4,1,0,0,4,0,0,0,0,58,4,0,0.250000,0.000000,10.471033,-1.000000,44
1,1,8,5,1,1,-1,-1,4,1,1,0,-1,0,0,0,0,41,0,8,1.000000,0.000000,0.000000,1.000000,41
1,1,9,3,1,0,5,2,0,0,0,0,4,0,0,0,0,54,8,0,0.214286,0.000000,-0.616164,-1.000000,42
1,1,11,1,1,0,46,2,7,0,0,0,3,0,0,0,0,63,3,0,0.222435,0.000000,0.589649,-1.000000,39
1,1,13,5,1,0,5,0,0,0,0,0,4,0,0,0,0,47,2,0,0.328040,0.000000,10.046749,-1.000000,40
1,1,15,3,1,0,5,4,0,1,0,0,4,0,0,0,0,52,1,0,0.481040,4.874348,12.188059,-1.000000,41
1,1,16,3,1,0,2,0,0,0,1,0,5,0,0,0,0,51,3,0,0.098229,0.000000,8.750996,-1.000000,40
1,1,18,1,1,0,46,4,7,0,0,0,3,0,0,0,0,62,1,0,0.261565,0.010516,9.060768,-1.000000,37
1,1,20,1,1,0,46,0,7,0,0,0,3,0,0,0,0,61,1,0,0.368007,1.022890,10.275446,-1.000000,37
1,1,22,5,1,0,1,4,0,0,1,0,3,0,0,0,0,45,2,0,0.032012,0.000000,10.263968,-1.000000,37
1,1,24,1,1,0,47,2,7,1,0,0,2,0,0,0,0,60,2,0,0.257636,0.000000,9.951353,-1.000000,37
1,1,25,1,1,0,45,2,7,0,0,0,0,0,0,0,0,57,1,0,0.231388,0.056987,13.615544,-1.000000,36
1,1,27,3,1,0,45,0,7,1,0,0,0,0,0,0,0,46,1,0,0.340477,0.049486,10.302587,-1.000000,38
1,1,28,1,1,1,-1,-1,7,1,1,0,-1,0,0,0,0,34,0,16,1.000000,0.000000,0.000000,1.000000,34
1,1,29,3,1,0,0,4,0,0,1,0,5,0,0,0,0,35,2,0,0.081936,0.000000,7.442364,-1.000000,34
1,1,31,5,1,0,4,4,0,0,1,0,3,0,0,0,0,44,1,0,0.048026,0.067986,11.260587,-1.000000,32
1,1,33,1,1,0,51,4,8,0,1,0,5,0,0,0,0,54,8,0,0.230149,0.000000,0.504001,-1.000000,34
1,1,35,3,1,0,3,4,0,0,1,0,5,0,0,0,0,33,1,0,0.078146,0.144665,10.284641,-1.000000,33
1,1,37,3,1,0,2,4,0,0,1,0,5,0,0,0,0,32,1,0,0.078574,0.167516,10.154608,-1.000000,33
1,1,40,3,1,0,0,0,0,0,1,0,5,0,0,0,0,31,2,0,0.081354,0.000000,12.135313,-1.000000,30
1,1,42,5,1,1,-1,-1,0,1,1,0,-1,0,0,0,0,26,0,8,0.851622,0.000000,0.000000,0.851622,26
1,1,44,5,1,0,52,4,8,0,1,0,1,0,0,0,0,39,3,0,0.148263,0.000000,8.691313,-1.000000,24
1,1,46,1,1,0,53,2,8,0,1,0,5,0,0,0,0,38,3,0,0.168071,0.000000,10.044384,-1.000000,24
1,1,48,5,1,0,50,4,8,0,1,0,3,0,0,0,0,38,2,0,0.118421,0.000000,11.743162,-1.000000,24
1,1,50,3,1,0,53,4,8,0,1,0,5,0,0,0,0,24,1,0,0.132503,0.209300,7.628081,-1.000000,26
1,1,52,3,1,0,51,2,8,0,1,0,5,0,0,0,0,23,1,0,0.158411,0.302600,10.924760,-1.000000,26
1,1,54,1,1,0,48,2,8,0,1,0,5,0,0,0,0,34,1,0,0.110023,0.035198,12.121169,-1.000000,23
1,1,56,1,1,0,48,4,8,0,1,0,5,0,0,0,0,33,1,0,0.137395,0.277629,12.120831,-1.000000,23
1,1,59,5,1,0,49,0,8,0,1,0,1,0,0,0,0,37,1,0,0.004333,0.041955,12.058186,-1.000000,19
1,1,61,5,1,0,52,0,8,0,1,0,1,0,0,0,0,36,2,0,0.002563,0.000000,12.683430,-1.000000,19
1,1,63,1,1,0,51,0,8,0,1,0,5,0,0,0,0,32,2,0,0.038756,0.000000,12.335040,-1.000000,19
1,1,65,5,1,0,50,0,8,0,1,0,3,0,0,0,0,35,1,0,0.000781,0.637948,12.531659,-1.000000,19
1,1,67,1,1,1,-1,-1,8,1,1,0,-1,0,0,0,0,18,0,2,0.783007,0.000000,0.000000,0.783007,18
1,1,68,5,1,0,31,4,5,1,0,0,4,0,0,0,0,30,20,0,0.275981,0.000000,2.175814,-1.000000,16
1,1,69,5,1,0,35,2,5,0,0,0,0,0,0,0,0,27,4,0,0.294923,0.000000,11.163320,-1.000000,15
1,1,72,5,1,0,31,2,5,1,0,0,2,0,0,0,0,26,1,0,1.000000,4.814484,22.027676,-1.000000,15
1,1,73,5,1,0,33,2,5,1,0,0,2,0,0,0,0,25,2,0,0.787233,0.000000,18.437815,-1.000000,15
1,1,74,5,1,0,32,2,5,1,0,0,2,0,0,0,0,22,1,0,0.496840,3.733848,17.026453,-1.000000,14
1,1,75,5,1,0,30,4,5,0,0,0,1,0,0,0,0,19,2,0,0.309079,0.000000,15.685623,-1.000000,13
1,1,78,1,1,0,35,4,5,0,0,0,0,0,0,0,0,17,1,0,0.423731,1.366973,16.972820,-1.000000,11
1,1,80,1,1,0,35,0,5,1,0,0,0,0,0,0,0,16,1,0,0.513236,7.793271,20.751633,-1.000000,11
1,1,81,1,1,1,-1,-1,5,1,1,0,-1,0,0,0,0,10,0,2,1.000000,0.000000,0.000000,1.000000,10
1,1,82,1,1,0,13,2,2,1,0,0,2,0,0,0,0,12,4,0,0.345684,0.000000,5.143363,-1.000000,9
